 : 1190327 occurence
C453_P230 : 1 occurence
W500_B600 : 2 occurence
O243_B236 : 1 occurence
W300_S530_B200 : 1 occurence
C562 : 10 occurence
S150_F300 : 2 occurence
A625_M564 : 1 occurence
R430_D623 : 1 occurence
H200_S365 : 2 occurence
P632_A263 : 1 occurence
C524_H532 : 1 occurence
E423_W360_H360 : 1 occurence
A135_D251 : 1 occurence
A650_A614 : 1 occurence
P530_W150 : 1 occurence
M650_P423_W650 : 1 occurence
R251_E235 : 1 occurence
S435_P420 : 1 occurence
G230_S612 : 1 occurence
V434_O625 : 1 occurence
C524_R235 : 1 occurence
D141_D400 : 1 occurence
I522_I512 : 1 occurence
G430_B630 : 1 occurence
C652_H631 : 1 occurence
O500_D235 : 1 occurence
R532_A252 : 1 occurence
D165_B350 : 5 occurence
V254_A361 : 1 occurence
U565 : 11 occurence
Y400_C460 : 1 occurence
S240_O152_A230 : 1 occurence
E423_C562 : 1 occurence
D124_T200 : 1 occurence
C652_S420 : 1 occurence
C325_A623 : 1 occurence
N362_P630 : 1 occurence
M300_B200 : 1 occurence
F100_F620 : 1 occurence
N516_P300 : 1 occurence
G400_E123 : 1 occurence
S234 : 3 occurence
T655_C610_A126 : 1 occurence
W300_A600 : 2 occurence
H260_D523 : 1 occurence
T610_O160 : 1 occurence
P235_M340 : 1 occurence
B352_W530 : 1 occurence
S520_C120 : 1 occurence
S166_V500_C100_S536 : 1 occurence
T000_T236 : 2 occurence
W236_H500_B000 : 1 occurence
W400_N516 : 1 occurence
N242_C600 : 1 occurence
N230_K000 : 1 occurence
M540_N236 : 1 occurence
T252_F214 : 1 occurence
P613_C234 : 1 occurence
D520_C230_B000 : 1 occurence
L360_R300 : 1 occurence
R600_C620 : 1 occurence
C656_D220 : 1 occurence
T614_M253 : 1 occurence
A623_S340 : 1 occurence
L624_I536 : 1 occurence
F552_T654 : 1 occurence
V254_R520 : 1 occurence
F640_C100 : 1 occurence
C530_B600 : 1 occurence
W600_C621 : 1 occurence
T120_C536 : 1 occurence
R246_C450 : 1 occurence
W300_C500 : 1 occurence
N360_N363 : 1 occurence
L352 : 8 occurence
M636_V235 : 1 occurence
R252_B200 : 1 occurence
F400_S313 : 1 occurence
S352_U123 : 1 occurence
H430_B600 : 1 occurence
S136_Q500 : 1 occurence
C621_H300 : 1 occurence
O325_M400_S616 : 1 occurence
C140_F613 : 1 occurence
B612 : 10 occurence
H455_M520 : 1 occurence
B252_I536 : 1 occurence
J300_N232 : 1 occurence
O200_Q622_S100 : 1 occurence
P620_M364 : 1 occurence
I620_R000_D400 : 1 occurence
R536_I512 : 1 occurence
C635_M300 : 1 occurence
A655_I532 : 1 occurence
F600_W620 : 1 occurence
Y400_M426 : 1 occurence
F234_S335 : 1 occurence
B430_M240_S365 : 1 occurence
G300_S520_O100_H560 : 1 occurence
C420_O300 : 1 occurence
M434_S300 : 1 occurence
S200_S362 : 1 occurence
S436_S365 : 1 occurence
U513_M365_L100 : 1 occurence
B452_B323 : 1 occurence
E250_T140 : 1 occurence
J420_V631 : 1 occurence
B420_L360_B430 : 1 occurence
S423_H320 : 1 occurence
L200_D500_O500 : 1 occurence
D140_C650 : 1 occurence
C140_W600 : 1 occurence
F530_D200 : 2 occurence
F540_W150 : 1 occurence
K325 : 5 occurence
W635_C552 : 1 occurence
P622_C430 : 1 occurence
C523_S530 : 1 occurence
T620_B500 : 1 occurence
N516_O500 : 1 occurence
B352_C430 : 1 occurence
D000_O100_M530 : 1 occurence
W630_C513_P626 : 1 occurence
A600_S363 : 1 occurence
E255_R165 : 1 occurence
D630_T620 : 1 occurence
N600_E530 : 1 occurence
A352_R236 : 2 occurence
H200_P651 : 1 occurence
C200_F600_A265 : 1 occurence
H300_W360_H360 : 1 occurence
A216_S536 : 2 occurence
B230_T400_A562 : 1 occurence
I533_U150_R213 : 1 occurence
P320_P330_H213 : 1 occurence
W400_E323_W621 : 1 occurence
C655_M220 : 1 occurence
J325 : 7 occurence
V536_S612 : 1 occurence
C620_C630 : 1 occurence
A412_F160 : 1 occurence
S200_R120 : 1 occurence
R551_C433 : 1 occurence
C620_A524 : 1 occurence
M416_C100_W560 : 1 occurence
C632_C650 : 1 occurence
M246_T200 : 1 occurence
R335_D200 : 1 occurence
G435_T650 : 1 occurence
L300_T300 : 1 occurence
